,kind,name,url,releaseDate,artistName,id
44,podcast,Cold,https://podcasts.apple.com/us/podcast/cold/id1441595858,2019-03-13,KSL Podcasts | Wondery,1441595858
45,podcast,Dateline NBC,https://podcasts.apple.com/us/podcast/dateline-nbc/id1464919521,2019-09-06,NBC News,1464919521
46,podcast,Embedded,https://podcasts.apple.com/us/podcast/embedded/id1091709555,2019-09-05,NPR,1091709555
47,podcast,The Dropout,https://podcasts.apple.com/us/podcast/the-dropout/id1449500734,2019-02-27,ABC News,1449500734
48,podcast,S-Town,https://podcasts.apple.com/us/podcast/s-town/id1212558767,2017-03-28,Serial & This American Life,1212558767
49,podcast,Against the Rules with Michael Lewis,https://podcasts.apple.com/us/podcast/against-the-rules-with-michael-lewis/id1455379351,2019-05-21,Pushkin Industries,1455379351
50,podcast,Inside Star Wars,https://podcasts.apple.com/us/podcast/inside-star-wars/id1459899343,2019-09-05,Wondery,1459899343
51,podcast,Fore Play,https://podcasts.apple.com/us/podcast/fore-play/id1200343264,2019-09-05,Barstool Sports,1200343264
52,podcast,Dan Carlin's Hardcore History,https://podcasts.apple.com/us/podcast/dan-carlins-hardcore-history/id173001861,2019-01-12,Dan Carlin,173001861
53,podcast,Something You Should Know,https://podcasts.apple.com/us/podcast/something-you-should-know/id1150124880,2019-09-07,Mike Carruthers / OmniCast Media,1150124880
54,podcast,The Ron Burgundy Podcast,https://podcasts.apple.com/us/podcast/the-ron-burgundy-podcast/id1449766796,2019-09-05,iHeartRadio & Ron Burgundy,1449766796
55,podcast,The Bill Simmons Podcast,https://podcasts.apple.com/us/podcast/the-bill-simmons-podcast/id1043699613,2019-09-07,The Ringer & Bill Simmons,1043699613
56,podcast,Lore,https://podcasts.apple.com/us/podcast/lore/id978052928,2019-09-02,Aaron Mahnke,978052928
57,podcast,Radiolab,https://podcasts.apple.com/us/podcast/radiolab/id152249110,2019-09-05,WNYC Studios,152249110
58,podcast,Freakonomics Radio,https://podcasts.apple.com/us/podcast/freakonomics-radio/id354668519,2019-09-05,​Dubner Productions and Stitcher,354668519
59,podcast,Dead Ass with Khadeen and Devale Ellis,https://podcasts.apple.com/us/podcast/dead-ass-with-khadeen-and-devale-ellis/id1460329478,2019-09-04,"Stitcher & Khadeen Ellis, Devale Ellis",1460329478
60,podcast,TED Radio Hour,https://podcasts.apple.com/us/podcast/ted-radio-hour/id523121474,2019-09-06,NPR,523121474
61,podcast,Lauren Conrad: Asking for a Friend,https://podcasts.apple.com/us/podcast/lauren-conrad-asking-for-a-friend/id1456642771,2019-07-24,Lauren Conrad and Cadence13,1456642771
62,podcast,Revisionist History,https://podcasts.apple.com/us/podcast/revisionist-history/id1119389968,2019-08-29,Pushkin Industries,1119389968
63,podcast,Getting Curious with Jonathan Van Ness,https://podcasts.apple.com/us/podcast/getting-curious-with-jonathan-van-ness/id1068563276,2019-09-04,Jonathan Van Ness,1068563276
64,podcast,Life is Short with Justin Long,https://podcasts.apple.com/us/podcast/life-is-short-with-justin-long/id1459899327,2019-09-03,Wondery,1459899327
65,podcast,Stupid Genius with Emma Chamberlain,https://podcasts.apple.com/us/podcast/stupid-genius-with-emma-chamberlain/id1458568923,2019-09-05,Emma Chamberlain and Ramble,1458568923
66,podcast,The Tiny Meat Gang Podcast,https://podcasts.apple.com/us/podcast/the-tiny-meat-gang-podcast/id1303668524,2019-09-06,Tiny Meat Gang,1303668524
67,podcast,Dumb People Town,https://podcasts.apple.com/us/podcast/dumb-people-town/id1187357113,2019-09-03,Starburns Audio,1187357113
68,podcast,Fresh Air,https://podcasts.apple.com/us/podcast/fresh-air/id214089682,2019-09-07,NPR,214089682
69,podcast,Planet Money,https://podcasts.apple.com/us/podcast/planet-money/id290783428,2019-09-07,NPR,290783428
70,podcast,That Sounds Fun with Annie F. Downs,https://podcasts.apple.com/us/podcast/that-sounds-fun-with-annie-f-downs/id944925529,2019-09-05,Annie F. Downs,944925529
71,podcast,My Dad Wrote A Porno,https://podcasts.apple.com/us/podcast/my-dad-wrote-a-porno/id1044196249,2019-06-03,My Dad Wrote A Porno,1044196249
72,podcast,Louder With Crowder,https://podcasts.apple.com/us/podcast/louder-with-crowder/id929121341,2019-09-06,Steven Crowder,929121341
73,podcast,Solvable,https://podcasts.apple.com/us/podcast/solvable/id1463448386,2019-09-04,Pushkin Industries,1463448386
74,podcast,Criminal,https://podcasts.apple.com/us/podcast/criminal/id809264944,2019-08-30,Criminal & Radiotopia,809264944
75,podcast,The Daily Show With Trevor Noah: Ears Edition,https://podcasts.apple.com/us/podcast/the-daily-show-with-trevor-noah-ears-edition/id1334878780,2019-09-06,Comedy Central,1334878780
76,podcast,Wait Wait...Don't Tell Me!,https://podcasts.apple.com/us/podcast/wait-wait-dont-tell-me/id121493804,2019-09-07,NPR,121493804
77,podcast,Casefile True Crime,https://podcasts.apple.com/us/podcast/casefile-true-crime/id998568017,2019-09-07,Casefile Presents,998568017
78,podcast,Pardon My Take,https://podcasts.apple.com/us/podcast/pardon-my-take/id1089022756,2019-09-06,Barstool Sports,1089022756
79,podcast,The Queen,https://podcasts.apple.com/us/podcast/the-queen/id1462685560,2019-06-17,Slate Podcasts,1462685560
80,podcast,ED MYLETT SHOW,https://podcasts.apple.com/us/podcast/ed-mylett-show/id1181233130,2019-09-03,Ed Mylett,1181233130
81,podcast,The Jordan B. Peterson Podcast,https://podcasts.apple.com/us/podcast/the-jordan-b-peterson-podcast/id1184022695,2019-09-08,Westwood One Podcast Network / Dr. Jordan B Peterson,1184022695
82,podcast,Last Podcast On The Left,https://podcasts.apple.com/us/podcast/last-podcast-on-the-left/id437299706,2019-09-06,The Last Podcast Network,437299706
83,podcast,Dear America with Graham Allen Podcast,https://podcasts.apple.com/us/podcast/dear-america-with-graham-allen-podcast/id1456850698,2019-09-04,Blaze Podcast Network,1456850698
84,podcast,The Dark Side Of,https://podcasts.apple.com/us/podcast/the-dark-side-of/id1461918400,2019-09-02,Parcast Network,1461918400
85,podcast,Ear Hustle,https://podcasts.apple.com/us/podcast/ear-hustle/id1240841298,2019-08-28,Ear Hustle & Radiotopia,1240841298
86,podcast,Haunted Places,https://podcasts.apple.com/us/podcast/haunted-places/id1293860614,2019-09-08,Parcast Network,1293860614
87,podcast,VIEWS with David Dobrik and Jason Nash,https://podcasts.apple.com/us/podcast/views-with-david-dobrik-and-jason-nash/id1236778275,2019-09-07,Cadence13,1236778275
88,podcast,Code Switch,https://podcasts.apple.com/us/podcast/code-switch/id1112190608,2019-09-04,NPR,1112190608
89,podcast,Someone Knows Something,https://podcasts.apple.com/us/podcast/someone-knows-something/id1089216339,2019-07-09,CBC Podcasts,1089216339
