,0,1,2,3,4,5,6,7
15,Armchair Umbrella,1345682353,2019-10-03,Armchair Expert with Dax Shepard,podcast,"[{'genreId': '1303', 'name': 'Comedy', 'url': 'https://itunes.apple.com/us/genre/id1303'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1309', 'name': 'TV & Film', 'url': 'https://itunes.apple.com/us/genre/id1309'}]",https://podcasts.apple.com/us/podcast/armchair-expert-with-dax-shepard/id1345682353,Jamie
16,NPR,1028908750,2019-09-30,Hidden Brain,podcast,"[{'genreId': '1535', 'name': 'Social Sciences', 'url': 'https://itunes.apple.com/us/genre/id1535'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1533', 'name': 'Science', 'url': 'https://itunes.apple.com/us/genre/id1533'}, {'genreId': '1534', 'name': 'Natural Sciences', 'url': 'https://itunes.apple.com/us/genre/id1534'}]",https://podcasts.apple.com/us/podcast/hidden-brain/id1028908750,Jamie
17,C13Originals,1460320573,2019-09-18,Gangster Capitalism,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/gangster-capitalism/id1460320573,Jamie
18,NPR,1222114325,2019-10-03,Up First,podcast,"[{'genreId': '1526', 'name': 'Daily News', 'url': 'https://itunes.apple.com/us/genre/id1526'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}]",https://podcasts.apple.com/us/podcast/up-first/id1222114325,Jamie
19,Esther Perel Global Media,1237931798,2019-03-08,Where Should We Begin? with Esther Perel,podcast,"[{'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1512', 'name': 'Health & Fitness', 'url': 'https://itunes.apple.com/us/genre/id1512'}]",https://podcasts.apple.com/us/podcast/where-should-we-begin-with-esther-perel/id1237931798,Jamie
20,TED,160904630,2019-10-02,TED Talks Daily,podcast,"[{'genreId': '1402', 'name': 'Design', 'url': 'https://itunes.apple.com/us/genre/id1402'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1301', 'name': 'Arts', 'url': 'https://itunes.apple.com/us/genre/id1301'}, {'genreId': '1304', 'name': 'Education', 'url': 'https://itunes.apple.com/us/genre/id1304'}]",https://podcasts.apple.com/us/podcast/ted-talks-daily/id160904630,Jamie
21,L.A. Times | Wondery,1272970334,2019-08-30,Dirty John,podcast,"[{'genreId': '1543', 'name': 'Documentary', 'url': 'https://itunes.apple.com/us/genre/id1543'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}, {'genreId': '1489', 'name': 'News', 'url': 'https://itunes.apple.com/us/genre/id1489'}]",https://podcasts.apple.com/us/podcast/dirty-john/id1272970334,Jamie
22,Oprah,1264843400,2019-10-02,Oprah’s SuperSoul Conversations,podcast,"[{'genreId': '1314', 'name': 'Religion & Spirituality', 'url': 'https://itunes.apple.com/us/genre/id1314'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1324', 'name': 'Society & Culture', 'url': 'https://itunes.apple.com/us/genre/id1324'}]",https://podcasts.apple.com/us/podcast/oprahs-supersoul-conversations/id1264843400,Jamie
23,Naval,1454097755,2019-07-31,Naval,podcast,"[{'genreId': '1412', 'name': 'Investing', 'url': 'https://itunes.apple.com/us/genre/id1412'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}, {'genreId': '1321', 'name': 'Business', 'url': 'https://itunes.apple.com/us/genre/id1321'}, {'genreId': '1318', 'name': 'Technology', 'url': 'https://itunes.apple.com/us/genre/id1318'}]",https://podcasts.apple.com/us/podcast/naval/id1454097755,Jamie
24,New Hampshire Public Radio,1423306695,2019-06-07,Bear Brook,podcast,"[{'genreId': '1488', 'name': 'True Crime', 'url': 'https://itunes.apple.com/us/genre/id1488'}, {'genreId': '26', 'name': 'Podcasts', 'url': 'https://itunes.apple.com/us/genre/id26'}]",https://podcasts.apple.com/us/podcast/bear-brook/id1423306695,Jamie
