WordCount,ConfScore
214,0.974885941
23,0.876633286
122,0.956187308
138,0.950285554
91,0.94285053
165,0.974907517
201,0.971565068
192,0.97482866
197,0.975406289
220,0.973172843
52,0.945783496
66,0.946038365
189,0.962474704
189,0.972722828
114,0.970592856
13,0.829813778
191,0.97999835
22,0.9019171
110,0.943861127
196,0.969295442
34,0.935301602
137,0.96963501
168,0.969430208
87,0.961529553
68,0.949841678
37,0.936120808
5,0.889526725
173,0.968519151
207,0.971683681
163,0.974712133
186,0.972100794
57,0.930619597
60,0.94166106
205,0.973866522
110,0.958771646
64,0.956009507
25,0.89196974
33,0.793407738
90,0.96033442
136,0.964012682
62,0.964762211
218,0.974767625
73,0.942977607
81,0.964028418
106,0.9633798
173,0.969751596
38,0.943864346
39,0.936715722
7,0.8383044
186,0.970353723
124,0.938179433
42,0.944752753
80,0.968003273
150,0.960565805
51,0.931590736
114,0.957486868
156,0.972947419
9,0.725689471
18,0.843256891
150,0.955839753
120,0.952021897
161,0.96878767
193,0.969838977
145,0.965587378
19,0.900544405
3,0.79456836
22,0.799052358
180,0.974528134
3,0.712853432
2,0.868943751
137,0.97141093
96,0.951714635
103,0.94185555
70,0.954741478
139,0.947684288
162,0.964121044
176,0.967157543
16,0.912757456
4,0.595127881
11,0.965091467
25,0.872018099
29,0.838958919
32,0.921674609
24,0.913312912
41,0.933983564
26,0.895613968
69,0.917195559
5,0.68725127
45,0.918030202
31,0.873475194
48,0.92142874
11,0.95830816
5,0.974549294
8,0.922878742
50,0.93015027
7,0.518773019
43,0.902611792
40,0.93563658
103,0.955851555
224,0.972472727
166,0.967453539
210,0.963717818
167,0.966857195
80,0.941663563
160,0.961728454
174,0.970615566
208,0.964041829
188,0.967346966
230,0.97530371
180,0.970330834
206,0.979419112
168,0.97536844
194,0.967626512
176,0.975783944
25,0.912032723
154,0.960073352
126,0.965553105
159,0.967837453
157,0.969064474
166,0.968535662
161,0.970762908
181,0.972647905
198,0.958546877
190,0.971865714
74,0.958225071
25,0.933075726
5,0.951931953
32,0.936536133
35,0.913847506
170,0.971501827
186,0.979384124
67,0.944967926
209,0.975115299
220,0.966647029
183,0.961311638
155,0.96676451
2,0.931703329
159,0.955500782
205,0.976424992
150,0.972410619
90,0.967812538
214,0.970935404
226,0.925578773
98,0.948133588
109,0.964769006
2,0.606140018
147,0.968322456
135,0.948038936
2,0.982388377
15,0.966613829
44,0.939270914
28,0.981766701
18,0.961953402
152,0.967920065
130,0.970529556
32,0.953854382
14,0.978592515
147,0.9555493
192,0.968530476
85,0.948142648
6,0.987628996
9,0.972555459
16,0.932588995
2,0.775437474
33,0.923474729
26,0.927887976
133,0.948793709
65,0.936802506
32,0.889089465
29,0.942983091
79,0.95119524
84,0.941916883
93,0.943228841
83,0.934593737
5,0.950758934
57,0.929093182
80,0.947552025
98,0.947545052
45,0.896269858
139,0.959678948
64,0.940426528
84,0.958083987
77,0.955529571
13,0.883260787
5,0.603662729
150,0.964555979
110,0.955144048
162,0.951071739
109,0.967537045
153,0.96067661
109,0.956949472
57,0.92630595
40,0.927457988
61,0.95324111
155,0.965346575
196,0.972974598
177,0.975340903
104,0.953705728
184,0.967818797
185,0.968045294
157,0.974512935
152,0.966300249
128,0.963738978
146,0.968625724
147,0.961013794
6,0.794397354
4,0.665733159
5,0.927798152
3,0.866071761
14,0.830734432
25,0.885349452
12,0.784525573
5,0.72260946
7,0.747887611
11,0.919235051
16,0.899216413
15,0.954752386
10,0.801290154
6,0.917573631
12,0.884952068
6,0.707879841
12,0.804962635
31,0.831462085
14,0.951397717
5,0.976946652
3,0.596464753
11,0.870880485
1,0.932708263
69,0.964915872
100,0.961023211
51,0.944886625
152,0.978888631
38,0.929591238
37,0.929039538
49,0.925109386
194,0.966228485
101,0.964649796
118,0.971313179
17,0.958901584
44,0.946574986
7,0.824827969
26,0.947622716
126,0.970444739
84,0.966649115
50,0.974860787
119,0.965061903
31,0.884105742
51,0.949885488
94,0.962540329
191,0.973097026
136,0.974036455
177,0.97026974
193,0.964617014
177,0.964862108
154,0.979781389
153,0.973603904
184,0.971941948
130,0.957836151
48,0.952661455
149,0.972722054
23,0.970303595
16,0.872166395
173,0.976858199
128,0.966916978
